Categoria,Mensagem
ham,"Oi, como você está?"
spam,"Você ganhou um prêmio! Clique aqui para resgatar."
ham,"Estou disponível para nossa reunião amanhã."
spam,"Oferta exclusiva! 90% de desconto, aproveite agora."
ham,"Poderíamos nos encontrar para discutir o projeto?"
spam,"Parabéns! Você foi sorteado. Envie seus dados."
ham,"Vamos almoçar juntos hoje?"
spam,"Seu cartão foi bloqueado! Atualize seus dados imediatamente."
ham,"Preciso da sua ajuda com um relatório."
spam,"Ganhe dinheiro fácil trabalhando de casa! Saiba mais."
ham,"Que tal assistirmos um filme no fim de semana?"
spam,"Última chance! Resgate seu cupom de desconto agora."
ham,"Te enviei os documentos por e-mail, me avise se recebeu."
spam,"Aproveite nossa promoção relâmpago, compre antes que acabe!"
ham,"Nos vemos às 15h no café da esquina."
spam,"Seu nome está na lista VIP, resgate seu prêmio agora!"
ham,"Gostaria de marcar um horário para conversarmos?"
spam,"Você foi selecionado para um prêmio especial, clique aqui!"
ham,"Preciso de um favor seu, pode me ajudar?"
spam,"Seu CPF está irregular, regularize agora clicando neste link."
ham,"Vamos sair para jantar neste fim de semana?"
spam,"Crédito aprovado! Solicite já o seu empréstimo fácil."
ham,"Obrigado por sua ajuda hoje, foi muito importante."
spam,"Aproveite nossa oferta exclusiva de Black Friday!"
ham,"Fiz um bolo, quer vir experimentar?"
spam,"Seu e-mail foi sorteado, ganhe um presente surpresa agora!"
ham,"O que você acha de um café amanhã de manhã?"
spam,"Promoção imperdível: compre um e leve dois, só hoje!"
ham,"Já terminou aquele relatório que combinamos?"
spam,"Clique aqui para confirmar sua inscrição e ganhar um brinde."
ham,"Precisamos revisar o orçamento antes da reunião."
spam,"Seu dispositivo está em risco! Baixe nosso antivírus agora."
ham,"Adorei a palestra de ontem, muito inspiradora!"
spam,"Seu WhatsApp será bloqueado! Atualize agora clicando aqui."
ham,"Podemos mudar o horário do nosso encontro?"
spam,"Você foi escolhido para testar nosso novo produto grátis!"
ham,"Recebi um presente para você, quando podemos nos encontrar?"
spam,"Seu saldo está baixo! Recarregue agora e ganhe bônus."
ham,"Vi uma notícia interessante, vou te enviar o link."
spam,"Ganhe 100 reais agora! Basta se cadastrar neste site."
ham,"Que bom te ver hoje! Vamos marcar algo para semana que vem."
spam,"Você tem dívidas pendentes! Pague agora para evitar multas."
ham,"Parabéns pelo seu novo projeto, ficou incrível!"
spam,"Oportunidade única: compre agora com 70% de desconto!"
ham,"Vou te ligar mais tarde para conversarmos melhor."
spam,"Aviso de segurança: detectamos uma atividade suspeita na sua conta."
ham,"Gostei muito da sua apresentação, parabéns!"
spam,"Você foi um dos ganhadores do nosso sorteio, clique e confirme."
ham,"Seu pedido foi enviado e chegará em breve!"
spam,"Cancele todas suas dívidas agora com esse método secreto."
ham,"Amanhã tem jogo do nosso time, vamos assistir juntos?"
spam,"Seu número foi selecionado para receber um brinde exclusivo!"
ham,"Vou viajar no final de semana, podemos nos encontrar antes?"
spam,"Baixe este app e ganhe prêmios incríveis agora mesmo!"
ham,"Obrigado pelo convite! Vou tentar ir ao evento."
spam,"Ganhe um iPhone grátis! Apenas algumas unidades disponíveis."
ham,"Que tal um happy hour depois do trabalho?"
spam,"Seus pontos do cartão estão vencendo, use-os agora!"
ham,"Te mandei um e-mail com os detalhes, me avise se precisar."
spam,"Temos uma oferta especial para você, mas só por 24 horas!"
ham,"Podemos remarcar nossa reunião para sexta-feira?"
spam,"Seu computador está infectado! Instale nosso software agora."
ham,"Já escolheu o presente para o aniversário da Ana?"
spam,"Você ganhou uma viagem! Responda essa pesquisa para resgatar."
ham,"Fiquei muito feliz com a sua mensagem, obrigado!"
spam,"Transação suspeita detectada! Verifique agora."
ham,"Seu pedido foi confirmado e será entregue em breve."
spam,"Ative sua conta agora e receba um bônus exclusivo!"
ham,"Vamos organizar um churrasco no próximo sábado?"
spam,"Seu banco está atualizando o sistema, clique para evitar bloqueio."
ham,"Que tal um café para colocarmos o papo em dia?"
spam,"Sua conta está em risco! Altere sua senha imediatamente."
ham,"Recebi sua mensagem, assim que possível eu te respondo!"
spam,"Promoção imperdível! Últimas unidades disponíveis!"
ham,"Podemos dividir as tarefas do projeto para agilizar?"
spam,"Seu número foi premiado! Clique aqui para resgatar."
ham,"Muito obrigado pela sua ajuda hoje!"
spam,"Ganhou um desconto exclusivo! Resgate agora."
ham,"Temos uma reunião importante amanhã, não esqueça!"
spam,"Atualize seus dados bancários para evitar bloqueio."
ham,"O restaurante que você indicou foi ótimo, adorei!"
spam,"Você precisa assistir este vídeo agora! Clique no link."
ham,"Faz tempo que não nos vemos, vamos marcar algo!"
spam,"Acesse este link para ver fotos exclusivas!"
ham,"Gostei muito daquele artigo que você compartilhou!"
spam,"Ganhe dinheiro respondendo pesquisas! Cadastre-se já."
ham,"Te liguei mais cedo, me retorna quando puder!"
spam,"Seu cartão foi clonado! Entre em contato agora."
ham,"Que bom que conseguimos nos encontrar hoje!"
spam,"Descubra como dobrar seu dinheiro em poucos dias!"
ham,"Seu ingresso para o evento já está garantido."
spam,"Aproveite essa oportunidade única para mudar de vida!"
ham,"Estou torcendo por você no seu novo desafio!"
spam,"Você precisa ver isso! Clique no link para mais detalhes."
ham,"Gostei muito da última reunião, foi bem produtiva."
spam,"Oferta relâmpago: preços nunca vistos antes!"
ham,"Parabéns pela conquista, você merece!"
spam,"Verifique sua conta agora para evitar bloqueio!"
ham,"Amanhã estarei por perto, podemos nos ver?"
spam,"Você ganhou um brinde exclusivo! Não perca essa chance."
ham,"Obrigado por me lembrar da reunião, quase esqueci!"
spam,"Seu nome foi incluído na lista VIP! Confirme sua presença."
ham,"Podemos conversar sobre aquela proposta?"
spam,"Deposite R$ 100 agora e receba o dobro de volta!"
ham,"Fiquei feliz em te ver hoje, vamos repetir mais vezes!"
spam,"Sua conta foi acessada de outro dispositivo! Clique aqui."
ham,"Posso te passar o contato do fornecedor?"
spam,"Receba um Pix de R$ 50 agora mesmo! Clique aqui."
ham,"Liguei para agendar a consulta, te aviso o horário."
spam,"Seu perfil foi visto por milhares! Ganhe seguidores agora."
ham,"Vamos combinar um jogo de tabuleiro no sábado?"
spam,"Atenção: seu pacote foi retido! Regularize a entrega."
ham,"Preciso da sua opinião sobre um novo layout."
spam,"Seu prêmio te espera! Resgate agora e ganhe bônus."
ham,"Que tal um passeio no parque no domingo?"
spam,"Desconto exclusivo para você! Clique e aproveite."
ham,"Você tem alguma sugestão para o presente do João?"
spam,"Atenção: sua conta bancária será suspensa."
ham,"Te encontro no cinema às 20h, ok?"
spam,"Você ganhou um vale-compras! Resgate agora mesmo."
ham,"Preciso de ajuda para montar um móvel, pode me ajudar?"
spam,"Seu número foi sorteado! Receba um carro zero km."
ham,"Vamos fazer um piquenique na praia?"
spam,"Ganhe dinheiro fácil com este método infalível."
ham,"Achei um livro que você vai adorar, te empresto depois."
spam,"Seu CPF foi consultado! Verifique seus dados."
ham,"Adorei a sua companhia ontem, vamos repetir em breve."
spam,"Acesso VIP liberado! Clique para entrar na área exclusiva."
ham,"Posso te ajudar com alguma tarefa hoje?"
spam,"Atenção: seu cartão de crédito foi usado indevidamente."
ham,"Vamos fazer um jantar em casa na sexta-feira?"
spam,"Seu e-mail foi premiado! Clique e resgate seu brinde."
ham,"Preciso de um conselho seu, podemos conversar?"
spam,"Você ganhou um celular de última geração! Clique aqui."
ham,"Vamos visitar aquela exposição de arte no museu?"
spam,"Seu pedido foi aprovado! Receba seu empréstimo agora."
ham,"Adorei a sua apresentação, você arrasou!"
spam,"Seu nome está na lista de ganhadores! Clique e confira."
ham,"Podemos marcar um café para colocar a conversa em dia?"
spam,"Atenção: sua conta foi invadida! Altere sua senha urgente."
ham,"Preciso da sua ajuda para organizar a festa."
spam,"Você ganhou um bônus exclusivo! Receba agora mesmo."
ham,"Vamos fazer uma trilha no final de semana?"
spam,"Seu número foi sorteado! Ganhe um prêmio incrível."
ham,"Adorei a sua companhia no show, foi muito divertido."
spam,"Atenção: seu acesso foi bloqueado! Clique para desbloquear."
ham,"Posso te ajudar a preparar o jantar?"
